"","VENTAS_CAT","PRODUCTO","IND_MOR","EXPOSURE","EAD_STD","EAD_DT","LGD_STD","LGD_DT","PD_TTC","M"
"1","(100, 250]","Lease",0,1489566.33,1489566.33,1489566.33,0.3,0.4,0.064,4
"2","(100, 250]","Lease",0,410428.3,410428.3,410428.3,0.3,0.4,0.064,4
"3",">250","Consumer Loan",0,5.82,2100005.82,3000005.82,0.25,0.3,0.064,4
"4",">250","Consumer Loan",0,3734.35,2103734.35,3003734.35,0.25,0.3,0.064,4
"5","<= 100","Credit Card",0,712.87,2190.79,3400,0.35,0.45,0.032,4
"6","<= 100","Consumer Loan",0,39388.27,39388.27,39388.27,0.35,0.45,0.032,4
"7","<= 100","Credit Card",0,1567.56,5655.4,9000,0.35,0.45,0.032,4
"8","<= 100","Credit Card",0,475.83,6814.12,12000,0.35,0.45,0.032,4
"9","<= 100","Credit Card",0,623.87,3580.74,6000,0.35,0.45,0.032,4
"10","<= 100","Credit Card",0,206.2,3392.79,6000,0.35,0.45,0.032,4
"11","<= 100","Credit Card",0,367.22,3465.25,6000,0.35,0.45,0.032,4
"12","<= 100","Credit Card",0,107.02,873.16,1500,0.35,0.45,0.032,4
"13","<= 100","Credit Card",0,176.61,3379.47,6000,0.35,0.45,0.032,4
"14","<= 100","Credit Card",0,150.16,2377.57,4200,0.35,0.45,0.032,4
"15","<= 100","Credit Card",0,65,2339.25,4200,0.35,0.45,0.032,4
"16","<= 100","Credit Card",0,141.75,2373.79,4200,0.35,0.45,0.032,4
"17","<= 100","Credit Card",0,28.1,562.65,1000,0.35,0.45,0.032,4
"18","<= 100","Credit Card",0,156.72,1720.52,3000,0.35,0.45,0.032,4
"19","<= 100","Credit Card",0,734.55,1430.55,2000,0.35,0.45,0.032,4
"20",">250","Lease",0,1861001.84,1861001.84,1861001.84,0.25,0.3,0.064,4
"21","<= 100","Consumer Loan",0,68.93,1000068.93,1000068.93,0.35,0.45,0.032,4
"22",">250","Consumer Loan",0,3334517.29,3809532.92,4013111.05,0.25,0.3,0.064,4
"23","<= 100","Consumer Loan",0,52057.02,150075.26,150075.26,0.35,0.45,0.032,4
"24","<= 100","Credit Card",0,4020.96,5109.43,6000,0.35,0.45,0.032,4
"25","<= 100","Credit Card",0,45,1670.25,3000,0.35,0.45,0.032,4
"26","<= 100","Credit Card",0,5.25,827.36,1500,0.35,0.45,0.032,4
"27",">250","Credit Card",0,3623.85,18130.73,30000,0.25,0.3,0.064,4
"28",">250","Credit Card",0,636.3,6886.34,12000,0.25,0.3,0.064,4
"29",">250","Credit Card",0,720.95,6924.43,12000,0.25,0.3,0.064,4
"30",">250","Credit Card",0,150,727.5,1200,0.25,0.3,0.064,4
"31",">250","Credit Card",0,1463.25,7258.46,12000,0.25,0.3,0.064,4
"32",">250","Credit Card",0,2626.1,7781.75,12000,0.25,0.3,0.064,4
"33",">250","Credit Card",0,385.01,2923.25,5000,0.25,0.3,0.064,4
"34",">250","Credit Card",0,804.8,6962.16,12000,0.25,0.3,0.064,4
"35","(100, 250]","Credit Card",0,549.9,1897.46,3000,0.3,0.4,0.064,4
"36","<= 100","Lease",0,5643.95,5643.95,5643.95,0.35,0.45,0.032,4
"37","(100, 250]","Lease",0,28829.02,28829.02,28829.02,0.3,0.4,0.064,4
"38","(100, 250]","Lease",0,9819.1,9819.1,9819.1,0.3,0.4,0.064,4
"39","(100, 250]","Lease",0,34213.23,34213.23,34213.23,0.3,0.4,0.064,4
"40","(100, 250]","Lease",0,52684.82,52684.82,52684.82,0.3,0.4,0.064,4
"41","(100, 250]","Lease",0,113164.63,113164.63,113164.63,0.3,0.4,0.064,4
"42","(100, 250]","Lease",0,120644.37,120644.37,120644.37,0.3,0.4,0.064,4
"43","(100, 250]","Lease",0,45816.55,45816.55,45816.55,0.3,0.4,0.064,4
"44","(100, 250]","Lease",0,35593.26,35593.26,35593.26,0.3,0.4,0.064,4
"45","(100, 250]","Lease",0,180759.97,180759.97,180759.97,0.3,0.4,0.064,4
"46","(100, 250]","Lease",0,82607.77,82607.77,82607.77,0.3,0.4,0.064,4
"47","(100, 250]","Lease",0,172135.3,172135.3,172135.3,0.3,0.4,0.064,4
"48","(100, 250]","Lease",0,155620.13,155620.13,155620.13,0.3,0.4,0.064,4
"49","(100, 250]","Credit Card",0,58.77,12000,12000,0.3,0.4,0.064,4
"50","(100, 250]","Credit Card",0,1498.88,24000,24000,0.3,0.4,0.064,4
"51","(100, 250]","Credit Card",0,354.98,12000,12000,0.3,0.4,0.064,4
"52","(100, 250]","Credit Card",0,105.81,12000,12000,0.3,0.4,0.064,4
"53","(100, 250]","Credit Card",0,412.01,18000,18000,0.3,0.4,0.064,4
"54","(100, 250]","Credit Card",0,31.5,12000,12000,0.3,0.4,0.064,4
"55","(100, 250]","Credit Card",0,1155.14,12000,12000,0.3,0.4,0.064,4
"56","(100, 250]","Credit Card",0,269.52,12000,12000,0.3,0.4,0.064,4
"57","(100, 250]","Credit Card",0,111.64,24000,24000,0.3,0.4,0.064,4
"58","(100, 250]","Credit Card",0,232.97,12000,12000,0.3,0.4,0.064,4
"59","(100, 250]","Credit Card",0,3696.81,3696.81,3696.81,0.3,0.4,0.064,4
"60","(100, 250]","Credit Card",0,6905.27,12000,12000,0.3,0.4,0.064,4
"61","(100, 250]","Credit Card",0,368.5,12000,12000,0.3,0.4,0.064,4
"62","(100, 250]","Credit Card",0,147.9,12000,12000,0.3,0.4,0.064,4
"63","(100, 250]","Credit Card",0,144.08,12000,12000,0.3,0.4,0.064,4
"64","(100, 250]","Credit Card",0,337.91,12000,12000,0.3,0.4,0.064,4
"65","(100, 250]","Credit Card",0,24,12000,12000,0.3,0.4,0.064,4
"66","(100, 250]","Credit Card",0,33.84,2400,2400,0.3,0.4,0.064,4
"67","(100, 250]","Credit Card",0,122.7,12000,12000,0.3,0.4,0.064,4
"68","(100, 250]","Credit Card",0,315.7,12000,12000,0.3,0.4,0.064,4
"69","(100, 250]","Credit Card",0,115.86,12000,12000,0.3,0.4,0.064,4
"70","(100, 250]","Credit Card",0,60,12000,12000,0.3,0.4,0.064,4
"71","(100, 250]","Credit Card",0,21.1,12000,12000,0.3,0.4,0.064,4
"72","(100, 250]","Credit Card",0,85,12000,12000,0.3,0.4,0.064,4
"73","(100, 250]","Credit Card",0,55.47,12000,12000,0.3,0.4,0.064,4
"74","(100, 250]","Credit Card",0,19,600,600,0.3,0.4,0.064,4
"75","(100, 250]","Credit Card",0,1089,3600,3600,0.3,0.4,0.064,4
"76","(100, 250]","Credit Card",0,68.85,12000,12000,0.3,0.4,0.064,4
"77","(100, 250]","Credit Card",0,255.18,12000,12000,0.3,0.4,0.064,4
"78","(100, 250]","Credit Card",0,27.31,12000,12000,0.3,0.4,0.064,4
"79","(100, 250]","Credit Card",0,9.02,3600,3600,0.3,0.4,0.064,4
"80","(100, 250]","Credit Card",0,8.75,12000,12000,0.3,0.4,0.064,4
"81","(100, 250]","Credit Card",0,440.08,12000,12000,0.3,0.4,0.064,4
"82","(100, 250]","Credit Card",0,12,3600,3600,0.3,0.4,0.064,4
"83","(100, 250]","Credit Card",0,91.22,12000,12000,0.3,0.4,0.064,4
"84","(100, 250]","Credit Card",0,259.31,50000,50000,0.3,0.4,0.064,4
"85","(100, 250]","Credit Card",0,116.82,12000,12000,0.3,0.4,0.064,4
"86","(100, 250]","Credit Card",0,99,12000,12000,0.3,0.4,0.064,4
"87","(100, 250]","Credit Card",0,26.34,12000,12000,0.3,0.4,0.064,4
"88","(100, 250]","Credit Card",0,408.31,3600,3600,0.3,0.4,0.064,4
"89","(100, 250]","Credit Card",0,366.43,6000,6000,0.3,0.4,0.064,4
"90","(100, 250]","Credit Card",0,1036.05,12000,12000,0.3,0.4,0.064,4
"91","(100, 250]","Credit Card",0,16.5,6000,6000,0.3,0.4,0.064,4
"92","(100, 250]","Credit Card",0,6571.94,18000,18000,0.3,0.4,0.064,4
"93","(100, 250]","Credit Card",0,57.7,22000,22000,0.3,0.4,0.064,4
"94","(100, 250]","Credit Card",0,427.42,12000,12000,0.3,0.4,0.064,4
"95","(100, 250]","Credit Card",0,80.45,6000,6000,0.3,0.4,0.064,4
"96","(100, 250]","Credit Card",0,474.05,12000,12000,0.3,0.4,0.064,4
"97","(100, 250]","Credit Card",0,10.67,12000,12000,0.3,0.4,0.064,4
"98","(100, 250]","Credit Card",0,508.75,2400,2400,0.3,0.4,0.064,4
"99","(100, 250]","Credit Card",0,322.07,6000,6000,0.3,0.4,0.064,4
"100","(100, 250]","Credit Card",0,1335.22,6000,6000,0.3,0.4,0.064,4
"101","(100, 250]","Credit Card",0,338.18,6000,6000,0.3,0.4,0.064,4
"102","(100, 250]","Credit Card",0,78.65,6000,6000,0.3,0.4,0.064,4
"103","(100, 250]","Credit Card",0,10.1,6000,6000,0.3,0.4,0.064,4
"104","(100, 250]","Credit Card",0,28.35,6000,6000,0.3,0.4,0.064,4
"105","(100, 250]","Credit Card",0,325.18,6000,6000,0.3,0.4,0.064,4
"106","(100, 250]","Credit Card",0,568.47,3600,3600,0.3,0.4,0.064,4
"107","(100, 250]","Credit Card",0,118.78,3600,3600,0.3,0.4,0.064,4
"108","(100, 250]","Credit Card",0,446.07,3600,3600,0.3,0.4,0.064,4
"109","(100, 250]","Credit Card",0,105.73,2400,2400,0.3,0.4,0.064,4
"110","(100, 250]","Credit Card",0,69.61,12000,12000,0.3,0.4,0.064,4
"111","(100, 250]","Credit Card",0,159.8,3600,3600,0.3,0.4,0.064,4
"112","(100, 250]","Credit Card",0,267.67,24000,24000,0.3,0.4,0.064,4
"113","(100, 250]","Credit Card",0,350,3600,3600,0.3,0.4,0.064,4
"114","(100, 250]","Credit Card",0,15.46,3600,3600,0.3,0.4,0.064,4
"115","(100, 250]","Credit Card",0,11.35,3600,3600,0.3,0.4,0.064,4
"116","(100, 250]","Credit Card",0,1244.03,3600,3600,0.3,0.4,0.064,4
"117","(100, 250]","Credit Card",0,4.65,3600,3600,0.3,0.4,0.064,4
"118","(100, 250]","Credit Card",0,23,3600,3600,0.3,0.4,0.064,4
"119","(100, 250]","Credit Card",0,10.25,6000,6000,0.3,0.4,0.064,4
"120","(100, 250]","Credit Card",0,51.01,3600,3600,0.3,0.4,0.064,4
"121","(100, 250]","Credit Card",0,18.85,3600,3600,0.3,0.4,0.064,4
"122","(100, 250]","Credit Card",0,29.05,3600,3600,0.3,0.4,0.064,4
"123","(100, 250]","Credit Card",0,10.95,3600,3600,0.3,0.4,0.064,4
"124","(100, 250]","Credit Card",0,422.12,3600,3600,0.3,0.4,0.064,4
"125","(100, 250]","Credit Card",0,31.25,3600,3600,0.3,0.4,0.064,4
"126","(100, 250]","Credit Card",0,175.54,3600,3600,0.3,0.4,0.064,4
"127","(100, 250]","Credit Card",0,283.6,6000,6000,0.3,0.4,0.064,4
"128","(100, 250]","Credit Card",0,592.8,3600,3600,0.3,0.4,0.064,4
"129","(100, 250]","Credit Card",0,17,3600,3600,0.3,0.4,0.064,4
"130","(100, 250]","Credit Card",0,468.82,3600,3600,0.3,0.4,0.064,4
"131","(100, 250]","Credit Card",0,66.05,3600,3600,0.3,0.4,0.064,4
"132","(100, 250]","Credit Card",0,27.67,6000,6000,0.3,0.4,0.064,4
"133","(100, 250]","Credit Card",0,114.9,3600,3600,0.3,0.4,0.064,4
"134","(100, 250]","Credit Card",0,54.33,3600,3600,0.3,0.4,0.064,4
"135","(100, 250]","Credit Card",0,27.31,3600,3600,0.3,0.4,0.064,4
"136","(100, 250]","Credit Card",0,5,3600,3600,0.3,0.4,0.064,4
"137","(100, 250]","Credit Card",0,826.9,3600,3600,0.3,0.4,0.064,4
"138","(100, 250]","Credit Card",0,115.65,3600,3600,0.3,0.4,0.064,4
"139","(100, 250]","Credit Card",0,41.45,3600,3600,0.3,0.4,0.064,4
"140","(100, 250]","Credit Card",0,35,3600,3600,0.3,0.4,0.064,4
"141","(100, 250]","Credit Card",0,8,3600,3600,0.3,0.4,0.064,4
"142","(100, 250]","Credit Card",0,2841.15,3600,3600,0.3,0.4,0.064,4
"143","(100, 250]","Credit Card",0,7.9,3600,3600,0.3,0.4,0.064,4
"144","(100, 250]","Credit Card",0,90.6,3600,3600,0.3,0.4,0.064,4
"145","(100, 250]","Credit Card",0,27.55,3600,3600,0.3,0.4,0.064,4
"146","(100, 250]","Credit Card",0,575.73,12000,12000,0.3,0.4,0.064,4
"147","(100, 250]","Credit Card",0,7137.14,12000,12000,0.3,0.4,0.064,4
"148","(100, 250]","Credit Card",0,88.2,12000,12000,0.3,0.4,0.064,4
"149","(100, 250]","Credit Card",0,102.98,12000,12000,0.3,0.4,0.064,4
"150","(100, 250]","Credit Card",0,141,12000,12000,0.3,0.4,0.064,4
"151","(100, 250]","Credit Card",0,5289.94,12000,12000,0.3,0.4,0.064,4
"152","(100, 250]","Credit Card",0,310.88,6000,6000,0.3,0.4,0.064,4
"153","(100, 250]","Credit Card",0,6.8,3600,3600,0.3,0.4,0.064,4
"154","(100, 250]","Credit Card",0,1784.9,6000,6000,0.3,0.4,0.064,4
"155","(100, 250]","Credit Card",0,183.11,3600,3600,0.3,0.4,0.064,4
"156","(100, 250]","Credit Card",0,78.74,3600,3600,0.3,0.4,0.064,4
"157","(100, 250]","Credit Card",0,228.15,3600,3600,0.3,0.4,0.064,4
"158","(100, 250]","Credit Card",0,14.25,3600,3600,0.3,0.4,0.064,4
"159","(100, 250]","Credit Card",0,39.4,3600,3600,0.3,0.4,0.064,4
"160","(100, 250]","Credit Card",0,12.2,3600,3600,0.3,0.4,0.064,4
"161","(100, 250]","Credit Card",0,149.42,3600,3600,0.3,0.4,0.064,4
"162","(100, 250]","Credit Card",0,1082.4,3600,3600,0.3,0.4,0.064,4
"163","(100, 250]","Credit Card",0,31.45,3600,3600,0.3,0.4,0.064,4
"164","(100, 250]","Credit Card",0,30,3600,3600,0.3,0.4,0.064,4
"165","(100, 250]","Credit Card",0,47.65,3600,3600,0.3,0.4,0.064,4
"166","(100, 250]","Credit Card",0,15.4,3600,3600,0.3,0.4,0.064,4
"167","(100, 250]","Credit Card",0,17.95,3600,3600,0.3,0.4,0.064,4
"168","(100, 250]","Credit Card",0,12.1,3600,3600,0.3,0.4,0.064,4
"169","(100, 250]","Credit Card",0,72.16,3600,3600,0.3,0.4,0.064,4
"170","(100, 250]","Credit Card",0,14.95,3600,3600,0.3,0.4,0.064,4
"171","(100, 250]","Credit Card",0,10.4,3600,3600,0.3,0.4,0.064,4
"172","(100, 250]","Credit Card",0,14,3600,3600,0.3,0.4,0.064,4
"173","(100, 250]","Credit Card",0,342.94,3600,3600,0.3,0.4,0.064,4
"174","(100, 250]","Credit Card",0,5.15,3600,3600,0.3,0.4,0.064,4
"175","(100, 250]","Credit Card",0,11.15,3600,3600,0.3,0.4,0.064,4
"176","(100, 250]","Credit Card",0,75.95,3600,3600,0.3,0.4,0.064,4
"177","(100, 250]","Credit Card",0,35.68,3600,3600,0.3,0.4,0.064,4
"178","(100, 250]","Credit Card",0,190.89,3600,3600,0.3,0.4,0.064,4
"179","(100, 250]","Credit Card",0,38.8,3600,3600,0.3,0.4,0.064,4
"180","(100, 250]","Credit Card",0,10,3600,3600,0.3,0.4,0.064,4
"181","(100, 250]","Credit Card",0,26.85,3600,3600,0.3,0.4,0.064,4
"182","(100, 250]","Credit Card",0,29.95,3600,3600,0.3,0.4,0.064,4
"183","(100, 250]","Credit Card",0,34.6,3600,3600,0.3,0.4,0.064,4
"184","(100, 250]","Credit Card",0,14.8,3600,3600,0.3,0.4,0.064,4
"185","(100, 250]","Credit Card",0,6.05,3600,3600,0.3,0.4,0.064,4
"186","(100, 250]","Credit Card",0,36.5,3600,3600,0.3,0.4,0.064,4
"187","(100, 250]","Credit Card",0,71.43,3600,3600,0.3,0.4,0.064,4
"188","(100, 250]","Credit Card",0,15.9,3600,3600,0.3,0.4,0.064,4
"189","(100, 250]","Credit Card",0,11.05,3600,3600,0.3,0.4,0.064,4
"190","(100, 250]","Credit Card",0,13.6,3600,3600,0.3,0.4,0.064,4
"191","(100, 250]","Credit Card",0,59.7,3600,3600,0.3,0.4,0.064,4
"192","(100, 250]","Credit Card",0,65.05,3600,3600,0.3,0.4,0.064,4
"193","(100, 250]","Credit Card",0,4.55,6000,6000,0.3,0.4,0.064,4
"194","(100, 250]","Credit Card",0,111.3,3600,3600,0.3,0.4,0.064,4
"195","(100, 250]","Credit Card",0,7.8,3600,3600,0.3,0.4,0.064,4
"196","(100, 250]","Credit Card",0,14.25,3600,3600,0.3,0.4,0.064,4
"197","(100, 250]","Credit Card",0,2200.04,3600,3600,0.3,0.4,0.064,4
"198","(100, 250]","Consumer Loan",0,728317.81,1618977.88,2000689.34,0.3,0.4,0.064,4
"199","(100, 250]","Consumer Loan",0,462807.05,462807.05,462807.05,0.3,0.4,0.064,4
"200",">250","Consumer Loan",0,1254111.11,1254111.11,1254111.11,0.25,0.3,0.064,4
"201","<= 100","Credit Card",0,390.18,1825.58,3000,0.35,0.45,0.032,4
"202",">250","Consumer Loan",0,10000431.66,10000431.66,10000431.66,0.25,0.3,0.064,4
"203","<= 100","Credit Card",0,65.53,6629.49,12000,0.35,0.45,0.032,4
"204","<= 100","Mortgage",0,691891.16,691891.16,691891.16,0.35,0.45,0.032,4
"205","<= 100","Credit Card",0,52.03,1343.41,2400,0.35,0.45,0.032,4
"206","<= 100","Credit Card",0,1311.84,7190.33,12000,0.35,0.45,0.032,4
"207","<= 100","Credit Card",0,1695.47,5162.96,8000,0.35,0.45,0.032,4
"208","<= 100","Credit Card",0,148.5,1386.83,2400,0.35,0.45,0.032,4
"209","<= 100","Credit Card",0,148,1386.6,2400,0.35,0.45,0.032,4
"210","<= 100","Credit Card",0,526.31,2986.84,5000,0.35,0.45,0.032,4
"211","<= 100","Credit Card",0,419.91,2938.96,5000,0.35,0.45,0.032,4
"212","<= 100","Credit Card",0,289.17,1780.13,3000,0.35,0.45,0.032,4
"213","<= 100","Credit Card",0,49.65,2772.34,5000,0.35,0.45,0.032,4
"214","<= 100","Credit Card",0,253.21,2863.94,5000,0.35,0.45,0.032,4
"215","<= 100","Credit Card",0,1094.16,2142.37,3000,0.35,0.45,0.032,4
"216","<= 100","Credit Card",0,1007.71,3203.47,5000,0.35,0.45,0.032,4
"217","<= 100","Credit Card",0,820.06,3119.03,5000,0.35,0.45,0.032,4
